xtf_id,UID,Nummer,Abkuerzung,Name_oeV,Name_HR,Gueltigkeit_BeginnGueltigkeit,Gueltigkeit_EndeGueltigkeit,Gueltigkeit_BearbeitungsDatum,Gueltigkeit_Stand
ch14uvag00249123,,20451,#LEER,Peter Halter Liegenschaften AG,Peter Halter Liegenschaften AG,18000101,,20220331,20220508
ch14uvag00249124,,20536,#LEER,Walter Mäder AG,Walter Mäder AG,18000101,,20220331,20220508
ch14uvag00249125,ES-A28010338,3118,SREQ,Siderúrgica Requena S.A.U. ,Siderúrgica Requena S.A.U. ,18000101,,20220331,20220508
ch14uvag00249126,,732,UST,Stadt Uster,Stadt Uster,18000101,,20220331,20220508
ch14uvag00249127,CHE-115.065.948,9793,SCI,Gemeinde Schiers,Gemeinde Schiers,18000101,,20220331,20220508
ch14uvag00249128,,20446,#LEER,Schindler Aufzüge AG,Schindler Aufzüge AG,18000101,,20220331,20220508
ch14uvag00249129,,20651,#LEER,Denner - Frauenfeld,Denner - Frauenfeld,18000101,,20220331,20220508
ch14uvag00249130,,20273,#TANKMEL,Tankanlage AG Mellingen,Tankanlage AG Mellingen,18000101,,20220331,20220508
ch14uvag00249131,,20332,#ELECTROLUX,Electrolux (Mägenwil),Electrolux (Mägenwil),18000101,,20220331,20220508
ch14uvag00000416,CHE-114.871.674,813,CB,Commune de Bassins,Commune de Bassins,18000101,,20220331,20220508
ch14uvag00249132,,20544,#LEER,Riseria Taverne SA,Riseria Taverne SA,18000101,,20220331,20220508
ch14uvag00249133,,20575,#LEER,Landi Frila Genossenschaft,Landi Frila Genossenschaft,18000101,,20220331,20220508
ch14uvag00249134,,20099,FLUMROC,Flumroc AG,Flumroc AG,18000101,,20220331,20220508
ch14uvag00249135,,2788,,HAK Komerc,HAK Komerc,18000101,,20220331,20220508
ch14uvag00249136,,20239,#EGLMUEAG,Egli Mühlen AG,Egli Mühlen AG,18000101,,20220331,20220508
ch14uvag00249137,,20641,#LEER,bci Betriebs-AG,bci Betriebs-AG,18000101,,20220331,20220508
ch14uvag00249138,,20318,#RONCHIGLA,Ronchi SA,Ronchi SA,18000101,,20220331,20220508
ch14uvag00249139,,20704,#LEER,Brugg Lifting,Brugg Lifting,18000101,,20220331,20220508
ch14uvag00249140,,20424,#LEER,Pestalozzi + Co AG,Pestalozzi + Co AG,18000101,,20220331,20220508
ch14uvag00249141,,2779,,Brioni d.o.o.,Brioni d.o.o.,18000101,,20220331,20220508
ch14uvag00249142,,20145,#ORLLATI,Avni Orllati,Avni Orllati,18000101,,20220331,20220508
ch14uvag00000662,CHE-114.375.665,2845,MARTI,Marti Infra AG,Marti Infra AG,20080626,,20220331,20220508
ch14uvag00249143,,20473,#LEER,Immobiliare Vedeggio SA,Immobiliare Vedeggio SA,18000101,,20220331,20220508
ch14uvag00000577,CHE-103.056.486,2824,JÜST,Stauffer Schienen- und Spezialfahrzeuge,Stauffer Schienen- und Spezialfahrzeuge,18000101,,20220331,20220508
ch14uvag00249144,,20042,#FIXIT,Fixit AG,Fixit AG,18000101,,20220331,20220508
ch14uvag00000735,CHE-105.895.658,170,RBS,Regionalverkehr Bern-Solothurn AG,Regionalverkehr Bern-Solothurn AG,19121231,,20220331,20220508
ch14uvag00249145,CHE-201.872.788,1375,HZM,H 2 M Rail Route SA,H 2 M Rail Route SA,18000101,,20220331,20220508
ch14uvag00249146,,20366,#LEER,SFS Locher AG,SFS Locher AG,18000101,,20220331,20220508
ch14uvag00249147,,20709,#LEER,BR Bauhandel AG,BR Bauhandel AG,18000101,,20220331,20220508
ch14uvag00249148,CHE-115.060.282,9803,CAZ,Gemeinde Cazis,Gemeinde Cazis,18000101,,20220331,20220508
ch14uvag00249149,,20238,#VANBAERAG,van Baerle AG,van Baerle AG,18000101,,20220331,20220508
ch14uvag00249150,,20479,MMVAG,MMV Holding AG,MMV Holding AG,18000101,,20220331,20220508
ch14uvag00249151,,20687,#LEER,Seiz Martin,Seiz Martin,18000101,,20220331,20220508
ch14uvag00249152,CHE-115.162.623,3138,TÜVCH,TÜV SÜD Schweiz AG,TÜV SÜD Schweiz AG,18000101,,20220331,20220508
ch14uvag00249153,,20377,#LEER,Flükiger & Co AG,Flükiger & Co AG,18000101,,20220331,20220508
ch14uvag00249154,,20502,#LEER,Transport AG Aarau,Transport AG Aarau,18000101,,20220331,20220508
ch14uvag00249155,,20428,#LEER,AGZ Ziegeleien AG,AGZ Ziegeleien AG,18000101,,20220331,20220508
ch14uvag00249156,,20420,#LEER,Waser + Co AG,Waser + Co AG,18000101,,20220331,20220508
ch14uvag00249157,,20454,#LEER,Lobeck Chemie AG,Lobeck Chemie AG,18000101,,20220331,20220508
ch14uvag00249158,,20671,#LEER,Einwohnergemeinde Reiden,Einwohnergemeinde Reiden,18000101,,20220331,20220508
ch14uvag00249159,,20608,#LEER,Model AG,Model AG,18000101,,20220331,20220508
ch14uvag00249160,,20254,#PROBETON,Pro Béton SA,Pro Béton SA,18000101,,20220331,20220508
ch14uvag00249161,,20646,#LEER,Silo + Umschlag AG,Silo + Umschlag AG,18000101,,20220331,20220508
ch14uvag00249162,,20266,#NITROWIM,Nitrochemie Wimmis AG,Nitrochemie Wimmis AG,18000101,,20220331,20220508
ch14uvag00249163,,20574,#LEER,Fritz Keller Holding AG,Fritz Keller Holding AG,18000101,,20220331,20220508
ch14uvag00249164,,20085,#CABBAG,CABB AG,CABB AG,18000101,,20220331,20220508
ch14uvag00249165,,20280,#TROTRECCOL,Trottet Récupération SA,Trottet Récupération SA,18000101,,20220331,20220508
ch14uvag00000634,CHE-103.644.766,1280,LNE,"Luftseilbahn Niederbauen AG, Emmetten","Luftseilbahn Niederbauen AG, Emmetten",19760224,,20220331,20220508
ch14uvag00249166,,20086,#GIKFRENK,Genossenschaft Industriegeleise im Kittler,Genossenschaft Industriegeleise im Kittler,18000101,,20220331,20220508
ch14uvag00249167,CHE-421.425.554,650,BLSSF,BLS Schifffahrt AG,BLS Schifffahrt AG,18000101,,20220331,20220508
ch14uvag00249168,,798,AFO,Alpbus Fournier,Alpbus Fournier,18000101,,20220331,20220508
ch14uvag00107838,,93,ERS,European Rail Shuttle,European Rail Shuttle,18000101,,20220331,20220508
ch14uvag00000771,,3,SBB-D,SBB GmbH,SBB GmbH,18000101,,20220331,20220508
ch14uvag00107782,,79,EUCO,Eurocombi SpA,Eurocombi SpA,18000101,,20220331,20220508
ch14uvag00000500,CHE-101.522.804,2883,FEBEX,FEBEX SA,FEBEX SA,18000101,,20220331,20220508
ch14uvag00249169,CHE-105.842.900,1372,MIGGE,Société Coopérative Migros Genève,Société Coopérative Migros Genève,18000101,,20220331,20220508
ch14uvag00001173,,2459,,Voyages Machado Sàrl,Voyages Machado Sàrl,18000101,,20220331,20220508
ch14uvag00000447,,2997,DBSY,DB Systemtechnik GmbH,DB Systemtechnik GmbH,18000101,,20220331,20220508
ch14uvag00225168,,2367,,Air Pullman S.p.A.,Air Pullman S.p.A.,18000101,,20220331,20220508
ch14uvag00224707,CHE-243.403.933,1600,BLSFV,BLS  Fernverkehr AG,BLS  Fernverkehr AG,20191213,,20220331,20220508
ch14uvag00225169,,1357,SST,Schneider Stahlbau AG,Schneider Stahlbau AG,20170621,,20220331,20220508
ch14uvag00000442,,54,DB,Deutsche Bahn AG,Deutsche Bahn AG,18000101,,20220331,20220508
ch14uvag00225170,CHE-286.676.072,3102,VDC,Vaud Céréales SA,Vaud Céréales SA,20170501,,20220331,20220508
ch14uvag00225171,,2775,,ETNA Trasporti in S.r.l.,ETNA Trasporti in S.r.l.,18000101,,20220331,20220508
ch14uvag00000860,CHE-105.828.478,612,SW,Schiffsbetrieb Walensee AG,Schiffsbetrieb Walensee AG,18000101,,20220331,20220508
ch14uvag00225172,,3108,ECR,Euro Cargo Rail SAS,Euro Cargo Rail SAS,18000101,,20220331,20220508
ch14uvag00225173,CHE-108.422.753,8,SBS,Schweizerische Bodensee-Schifffahrt AG,Schweizerische Bodensee-Schifffahrt AG,18000101,,20220331,20220508
ch14uvag00249170,,20468,#LEER,Koller Franz,Koller Franz,18000101,,20220331,20220508
ch14uvag00249171,,20511,#LEER,Arnold & Co AG,Arnold & Co AG,18000101,,20220331,20220508
ch14uvag00249172,,20180,#FELDSATIGNY,Feldschlösschen Supply Company AG,Feldschlösschen Supply Company AG,18000101,,20220331,20220508
ch14uvag00249173,,6017,,Ditta Frroku Artan,Ditta Frroku Artan,18000101,,20220331,20220508
ch14uvag00000874,CHE-103.327.202,1028,TBR,"Télésiège Buttes - La Robella et Téleskis Chasseron Nord (T.B.R.C.), Société coopérative","Télésiège Buttes - La Robella et Téleskis Chasseron Nord (T.B.R.C.), Société coopérative",18000101,,20220331,20220508
ch14uvag00249174,,20481,#LEER,Lopatex AG,Lopatex AG,18000101,,20220331,20220508
ch14uvag00001168,,2453,,"Veolia Eurolines CZ, a.s.","Veolia Eurolines CZ, a.s.",18000101,,20220331,20220508
ch14uvag00225163,,2768,,Société Alpes Transports,Société Alpes Transports,18000101,,20220331,20220508
ch14uvag00001300,,2596,,Albus Salzburg Verkehsbetriebe GmbH,Albus Salzburg Verkehsbetriebe GmbH,18000101,,20220331,20220508
ch14uvag00224714,,828,ABG,Alsa Bustours Gex SAS,Alsa Bustours Gex SAS,20191015,,20220331,20220508
ch14uvag00225165,,1355,HAG,Heuberge AG,Heuberge AG,19800910,,20220331,20220508
ch14uvag00000909,CHE-109.263.121,37,TRAVYS,TRAVYS - Transports Vallée-de-Joux - Yverdon-les-Bains - Sainte-Croix S.A. ,TRAVYS - Transports Vallée-de-Joux - Yverdon-les-Bains - Sainte-Croix S.A. ,20010712,,20220331,20220508
ch14uvag00001062,,2238,,Agat Sp. z.o.o.,Agat Sp. z.o.o.,18000101,,20220331,20220508
ch14uvag00225166,,3099,TXLIT,TX Logistik Transalpine GmbH - Sede secondaria italiana,TX Logistik Transalpine GmbH - Sede secondaria italiana,18000101,,20220331,20220508
ch14uvag00000445,,3000,DBRE,DB Regio AG,DB Regio AG,18000101,,20220331,20220508
ch14uvag00225167,,2765,,DTPT Niko Ekspres Dooel,DTPT Niko Ekspres Dooel,18000101,,20220331,20220508
ch14uvag00000823,,51,SNCF,Société Nationale des Chemins de fer Français,Société Nationale des Chemins de fer Français,18000101,,20220331,20220508
ch14uvag00000911,,695,TRI,Téléphérique Riddes-Isérables,Commune Isérables,18000101,,20220331,20220508
ch14uvag00249175,,20681,#LEER,Ammobilien AG,Ammobilien AG,18000101,,20220331,20220508
ch14uvag00249176,,20349,#NESPRROM,"Nestlé Nespresso SA, Romont","Nestlé Nespresso SA, Romont",18000101,,20220331,20220508
ch14uvag00249177,IT00510420011,3140,AMBR,Ambrogio Trasporti S.p.A.,Ambrogio Trasporti S.p.A.,18000101,,20220331,20220508
ch14uvag00249178,,20388,#LEER,Axpo Hydro Surselva AG,Axpo Hydro Surselva AG,18000101,,20220331,20220508
ch14uvag00249179,,20324,#STIHL,STIHL Kettenwerk GmbH & Co KG,STIHL Kettenwerk GmbH & Co KG,18000101,,20220331,20220508
ch14uvag00249180,,20622,#LEER,Zuckermühle Rupperswil AG,Zuckermühle Rupperswil AG,18000101,,20220331,20220508
ch14uvag00001006,,2030,,Associazione Proprietari Torpedoni,Associazione Proprietari Torpedoni,18000101,,20220331,20220508
ch14uvag00249181,,20403,#LEER,Silo AG Wil,Silo AG Wil,18000101,,20220331,20220508
ch14uvag00225174,,3119,TETT,Trains & Traction,Trains & Traction,18000101,,20220331,20220508
ch14uvag00249182,DE 112 012 727 ,3142,KOMBI,Kombiverkehr Deutsche Gesellschaft für kombinierten Güterverkehr mbH & Co. KG,Kombiverkehr Deutsche Gesellschaft für kombinierten Güterverkehr mbH & Co. KG,18000101,,20220331,20220508
ch14uvag00249183,CHE-464.507.309,9009,POSTI,Post Immobilien AG,Post Immobilien AG,18000101,,20220331,20220508
ch14uvag00000950,CHE-101.500.984,84,VDBB,Verein Dampfbahn Bern - Konolfingen,Verein Dampfbahn Bern - Konolfingen,20001030,,20220331,20220508
ch14uvag00249184,,20066,#ETATVD,Etat de Vaud,Etat de Vaud,18000101,,20220331,20220508
ch14uvag00249185,,20670,#LEER,Affoltern am Albis,Affoltern am Albis,18000101,,20220331,20220508
ch14uvag00001271,,2567,,Societa' Privata Trasporti S.r.l.,Societa' Privata Trasporti S.r.l.,18000101,,20220331,20220508
ch14uvag00249186,,20525,#LEER,Birmensdorf Industrie,Birmensdorf Industrie,18000101,,20220331,20220508
ch14uvag00225175,,649,ASK,Autofähre Stansstad - Kehrsiten,Kanton Nidwalden,18000101,,20220331,20220508
ch14uvag00249187,,20320,#HOCHRHEIN,Hochrhein Terminal AG,Hochrhein Terminal AG,18000101,,20220331,20220508
ch14uvag00001101,,2354,,Grupo Enatcar SA,Grupo Enatcar SA,18000101,,20220331,20220508
ch14uvag00249188,,20381,#LEER,Wenger Holzbau AG,Wenger Holzbau AG,18000101,,20220331,20220508
ch14uvag00249189,,20137,#SIG,Services industriels de Genève,Services industriels de Genève,18000101,,20220331,20220508
ch14uvag00249190,,20599,#LEER,Favre SA,Favre SA,18000101,,20220331,20220508
ch14uvag00001243,CHE-113.589.790,2537,,BIHTOURS GMBH,BIHTOURS GMBH,18000101,,20220331,20220508
ch14uvag00249191,,2791,,Fljori Turs Dooel,Fljori Turs Dooel,18000101,,20220331,20220508
ch14uvag00249192,,20171,#KRAEHLYS,A. Krähenbühl (edi AG),A. Krähenbühl (edi AG),18000101,,20220331,20220508
ch14uvag00001316,,2614,,Zoran Reisen d.o.o.,Zoran Reisen d.o.o.,18000101,,20220331,20220508
ch14uvag00249193,,20194,#EINWSUR,Einwohnergemeinde Stadt Sursee,Einwohnergemeinde Stadt Sursee,18000101,,20220331,20220508
ch14uvag00165719,CHE-105.061.133,2680,,L' Autopostale del Mendrisiotto SA,L' Autopostale del Mendrisiotto SA,18000101,,20220331,20220508
ch14uvag00249194,,20017,#BEWE,Bewetec AG,Bewetec AG,18000101,,20220331,20220508
ch14uvag00165689,,2682,Attilio,Attilio Baldioli SpA,Attilio Baldioli SpA,18000101,,20220331,20220508
ch14uvag00000472,,2004,EL-DE,Deutsche Touring GmbH (DTG),Deutsche Touring GmbH (DTG),18000101,,20220331,20220508
ch14uvag00000418,,2971,CBm,Club Bm 22-70,Club Bm 22-70,18000101,,20220331,20220508
ch14uvag00000474,,2065,EL-HR,Autotrans d.o.o.,Autotrans d.o.o.,18000101,,20220331,20220508
ch14uvag00001056,,2212,,Sladjana D.O.O.,Sladjana D.O.O.,18000101,,20220331,20220508
ch14uvag00001117,,2397,,MEGATRANS - Kiril Ilkov,MEGATRANS - Kiril Ilkov,18000101,,20220331,20220508
ch14uvag00000511,,2802,FPC,Joint Stock Company Federal Passenger Company"",Joint Stock Company Federal Passenger Company"",18000101,,20220331,20220508
ch14uvag00001194,,2486,,Steimann Marie Theresia,Steimann Marie Theresia,18000101,,20220331,20220508
ch14uvag00000359,,536,BCS,Bus de la Commune de Sion,Commune de Sion,18000101,,20220331,20220508
ch14uvag00001319,,2617,,Belegija Prevoz MSI d.o.o.,Belegija Prevoz MSI d.o.o.,18000101,,20220331,20220508
ch14uvag00001017,,2090,,Biuro Podrozy ""Bermuda"""",Biuro Podrozy ""Bermuda"""",18000101,,20220331,20220508
ch14uvag00107874,,3024,GCF,GENERALE COSTRUZIONI FERROVIARIE S.p.a. ,GENERALE COSTRUZIONI FERROVIARIE S.p.a. ,18000101,,20220331,20220508
ch14uvag00107794,,2613,,Doo Tomo Reisen,Doo Tomo Reisen,18000101,,20220331,20220508
ch14uvag00107818,,2912,NFKL,Norfolkline,Norfolkline,18000101,,20220331,20220508
ch14uvag00000516,,632,FRW,Rheinfähre Paradies Roland Walter,Rheinfähre Paradies Roland Walter,18000101,,20220331,20220508
ch14uvag00107833,,3030,FMR,FuoriMuro Servizi Portuali e Ferroviari S.r.l.,FuoriMuro Servizi Portuali e Ferroviari S.r.l.,18000101,,20220331,20220508
ch14uvag00107828,CHE-101.629.885,3033,CENSI,Fratelli Censi SA ,Fratelli Censi SA ,19840206,,20220331,20220508
ch14uvag00165687,,3039,CIER,Compagnie Internationale des Evénements sur Rail s.à.r.l.,Compagnie Internationale des Evénements sur Rail s.à.r.l.,18000101,,20220331,20220508
ch14uvag00000700,,2089,ORBIS(PL),ORBIS Transport Sp.z.o.o.,ORBIS Transport Sp.z.o.o.,18000101,,20220331,20220508
ch14uvag00000798,,2876,SFH,Schienenfahrzeuge Export-Import HGmbh-SFH,Schienenfahrzeuge Export-Import HGmbh-SFH,18000101,,20220331,20220508
ch14uvag00000561,,2992,HSF,Haltinger Speisewagenfreunde,Heinz Erni,18000101,,20220331,20220508
ch14uvag00107858,IT 04085340729,2914,GTSL,G.T.S. - General Transport Service S.P.A.,G.T.S. - General Transport Service S.P.A.,18000101,,20220331,20220508
ch14uvag00001281,,2577,,Sharr Reisen,Sharr Reisen,18000101,,20220331,20220508
ch14uvag00107853,,3025,NC,DB Cargo Italia Srl.,DB Cargo Italia Srl.,18000101,,20220331,20220508
ch14uvag00000850,,2819,STLB,Steiermärkische Landesbahnen,Steiermärkische Landesbahnen,18000101,,20220331,20220508
ch14uvag00001156,,2441,,Uecker Randow Bus GmbH,Uecker Randow Bus GmbH,18000101,,20220331,20220508
ch14uvag00107860,,3032,VTGD,VTG Aktiengesellschaft (VTG AG),VTG Aktiengesellschaft (VTG AG),18000101,,20220331,20220508
ch14uvag00001089,,2323,,DTT Euro Turist,DTT Euro Turist,18000101,,20220331,20220508
ch14uvag00165718,,2655,,Moto Boem d.o.o.,Moto Boem d.o.o.,18000101,,20220331,20220508
ch14uvag00166341,,3072,BRS,BMTI Rail Service GmbH,BMTI Rail Service GmbH,18000101,,20220331,20220508
ch14uvag00001121,,2404,,Rombus Transport SRL,Rombus Transport SRL,18000101,,20220331,20220508
ch14uvag00107773,,3031,PCM,Petrochem Aussenhandels GmbH,Petrochem Aussenhandels GmbH,18000101,,20220331,20220508
ch14uvag00000948,,346,VBZ,Verkehrsbetriebe Zürich,Stadt Zürich,18000101,,20220331,20220508
ch14uvag00001037,,2170,,Nis-Ekspres a.d.,Nis-Ekspres a.d.,18000101,,20220331,20220508
ch14uvag00001093,,2333,,DitoBus A/S,DitoBus A/S,18000101,,20220331,20220508
ch14uvag00249195,,20663,#LEER,Transport publics fribourgeois,Transport publics fribourgeois,18000101,,20220331,20220508
ch14uvag00249196,,20684,#LEER,Josef Elkuch AG,Josef Elkuch AG,18000101,,20220331,20220508
ch14uvag00225176,,3098,EFM,European Fleet Management GmbH & Co. KG,European Fleet Management GmbH & Co. KG,18000101,,20220331,20220508
ch14uvag00249197,,20231,#FOERYTANK,Föry Tanklager AG,Föry Tanklager AG,18000101,,20220331,20220508
ch14uvag00249198,,20616,#LEER,Modelgroup - Däniken,Modelgroup - Däniken,18000101,,20220331,20220508
ch14uvag00001065,,2249,,Turancar,Turancar,18000101,,20220331,20220508
ch14uvag00249199,,20697,#LEER,Erich Badertscher p.A. - Von Graffenried,Erich Badertscher p.A. - Von Graffenried,18000101,,20220331,20220508
ch14uvag00249200,,20652,#LEER,Getreidecenter Freiamt AG,Getreidecenter Freiamt AG,18000101,,20220331,20220508
ch14uvag00249201,,20178,#FTIGE,FTI Fondation pour les terrains industriels de Genève,FTI Fondation pour les terrains industriels de Genève,18000101,,20220331,20220508
ch14uvag00001218,,2510,,K-Bus,K-Bus,18000101,,20220331,20220508
ch14uvag00220844,,3082,SLVAG,SLOV-VAGON a.s.,SLOV-VAGON a.s.,18000101,,20220331,20220508
ch14uvag00001310,,2606,,Sindbad-Reisen GmbH,Sindbad-Reisen GmbH,18000101,,20220331,20220508
ch14uvag00001201,,2493,,Ecolines Polska Sp. z.o.o.,Ecolines Polska Sp. z.o.o.,18000101,,20220331,20220508
ch14uvag00001055,,2211,,Braca Trans,Braca Trans,18000101,,20220331,20220508
ch14uvag00000881,,694,TDCA,Téléphérique Dorénaz - Champex d'Alesse,Commune de Dorénaz,18000101,,20220331,20220508
ch14uvag00001295,,2591,,FlixBus DACH GmbH (ehemals MFB Mein Fernbus GmbH),FlixBus DACH GmbH (ehemals MFB Mein Fernbus GmbH),18000101,,20220331,20220508
ch14uvag00165857,,3049,CTI,Captrain Italia srl,Captrain Italia srl,18000101,,20220331,20220508
ch14uvag00001136,,2421,,"Benli, Internationaler Busbetrieb","Benli, Internationaler Busbetrieb",18000101,,20220331,20220508
ch14uvag00001165,,2450,,MC Reisen ,MC Reisen ,18000101,,20220331,20220508
ch14uvag00001161,,2446,,Selmer Reisen Bulskamper ,Selmer Reisen Bulskamper ,18000101,,20220331,20220508
ch14uvag00001269,,2565,,"R.B. Sulejmani, Gostivar","R.B. Sulejmani, Gostivar",18000101,,20220331,20220508
ch14uvag00001057,,2214,,Spell Tours d.o.o.,Spell Tours d.o.o.,18000101,,20220331,20220508
ch14uvag00107813,,3026,INR,InRail S.p.A.,InRail S.p.A.,18000101,,20220331,20220508
ch14uvag00001077,,2277,,Cefalù Autoservizi srl,Cefalù Autoservizi srl,18000101,,20220331,20220508
ch14uvag00001144,,2429,,Stern Tours,Stern Tours,18000101,,20220331,20220508
ch14uvag00000586,CHE-107.912.374,474,KSB,A.G. Sonnenbergbahn Kriens,A.G. Sonnenbergbahn Kriens,18000101,,20220331,20220508
ch14uvag00000324,,2039,ASL,Autoservizi Silvestri S.r.l.,Autoservizi Silvestri S.r.l.,18000101,,20220331,20220508
ch14uvag00001048,,2194,,Gold Tours d.o.o.,Gold Tours d.o.o.,18000101,,20220331,20220508
ch14uvag00001264,,2560,,VPL - Viagens Póvoa de Lanhoso Lda,VPL - Viagens Póvoa de Lanhoso Lda,18000101,,20220331,20220508
ch14uvag00001138,,2423,,Omnibus + Mietwagen Hans-Jurgen Merth,Omnibus + Mietwagen Hans-Jurgen Merth,18000101,,20220331,20220508
ch14uvag00001119,,2401,,N.T.T.SH. Beli,N.T.T.SH. Beli,18000101,,20220331,20220508
ch14uvag00166343,,3080,HS,Hafen Stuttgart GmbH,Hafen Stuttgart GmbH,18000101,,20220331,20220508
ch14uvag00166345,,2715,,Savic-SS d.o.o.,Savic-SS d.o.o.,18000101,,20220331,20220508
ch14uvag00000906,CHE-102.954.307,522,TPL,TRASPORTI PUBBLICI LUGANESI SA (TPL),TRASPORTI PUBBLICI LUGANESI SA (TPL),19991229,,20220331,20220508
ch14uvag00249202,CHE-105.896.913,9413,MIGVD,Société coopérative Migros Vaud,Société coopérative Migros Vaud,18000101,,20220331,20220508
ch14uvag00249203,,20484,#LEER,Lift AG,Lift AG,18000101,,20220331,20220508
ch14uvag00249204,,20566,#LEER,Stammgleis Mägenwil (Denner AG) - Mägenwil,Stammgleis Mägenwil (Denner AG) - Mägenwil,18000101,,20220331,20220508
ch14uvag00249205,,20422,#LEER,Gemeinde Rothenburg - Rothenburg,Gemeinde Rothenburg - Rothenburg,18000101,,20220331,20220508
ch14uvag00249206,,20417,#LEER,Einwohnergemeinde Muri (AG),Einwohnergemeinde Muri (AG),18000101,,20220331,20220508
ch14uvag00249207,,20506,#LEER,Gemeinde Spreitenbach,Gemeinde Spreitenbach,18000101,,20220331,20220508
ch14uvag00001005,,2027,,ABC Taxi,ABC Taxi,18000101,,20220331,20220508
ch14uvag00000549,,1264,GSUR,Gemeinde Surses/Cumegn Surses,Gemeinde Surses/Cumegn Surses,18000101,,20220331,20220508
ch14uvag00001160,,2445,,Uwe Kubsch GmbH,Uwe Kubsch GmbH,18000101,,20220331,20220508
ch14uvag00249208,,20696,#LEER,Metro Boutiques AG,Metro Boutiques AG,18000101,,20220331,20220508
ch14uvag00000462,CHE-107.912.730,575,EAB,Engelberger-Auto-Betriebe AG (EAB),Engelberger-Auto-Betriebe AG (EAB),18000101,,20220331,20220508
ch14uvag00249209,,20542,#LEER,Plazza Immobilien AG,Plazza Immobilien AG,18000101,,20220331,20220508
ch14uvag00249210,,20457,#LEER,Wincasa AG,Wincasa AG,18000101,,20220331,20220508
ch14uvag00249211,,20462,#LEER,Landi Albis,Landi Albis,18000101,,20220331,20220508
ch14uvag00165701,,2650,,SemiTimeS UG,SemiTimeS UG,18000101,,20220331,20220508
ch14uvag00001024,,2122,,Autoprevoz Vrnjacka-Banja,Autoprevoz Vrnjacka-Banja,18000101,,20220331,20220508
ch14uvag00107822,,2666,,UAB Bustransas,UAB Bustransas,18000101,,20220331,20220508
ch14uvag00001331,,2633,,Pejic Tours d.o.o.,Pejic Tours d.o.o.,18000101,,20220331,20220508
ch14uvag00107806,,2671,,Ljublijana Bus d.o.o,Ljublijana Bus d.o.o,18000101,,20220331,20220508
ch14uvag00166314,CHE-443.323.531,3061,FRETU,Fretus AG,Fretus AG,20141121,,20220331,20220508
ch14uvag00000300,,2988,AHD,Rail system s.r.o.,Rail system s.r.o.,18000101,,20220331,20220508
ch14uvag00001102,,2357,,Viagens Povoa de Lanhoso,Viagens Povoa de Lanhoso,18000101,,20220331,20220508
ch14uvag00001324,,2625,,Amici in Tour di Maiorano Patrizia & C sas,Amici in Tour di Maiorano Patrizia & C sas,18000101,,20220331,20220508
ch14uvag00165702,,2698,,Ademex d.o.o.,Ademex d.o.o.,18000101,,20220331,20220508
ch14uvag00165727,,2686,,"Transdev Eurolines cz, a.s.","Transdev Eurolines cz, a.s.",18000101,,20220331,20220508
ch14uvag00001064,,2245,,Sais Autolinee S.p.A,Sais Autolinee S.p.A,18000101,,20220331,20220508
ch14uvag00107790,,2903,NETLOG,NetLog Netzwerk-Logistik,NetLog Netzwerk-Logistik,18000101,,20220331,20220508
ch14uvag00107774,,3021,ORWU,On-Rail GmbH,On-Rail GmbH,18000101,,20220331,20220508
ch14uvag00001199,,2491,,Norma-A SIA,Norma-A SIA,18000101,,20220331,20220508
ch14uvag00107843,,2342,,Student Agency k.s.,Student Agency k.s.,18000101,,20220331,20220508
ch14uvag00166313,CHE-134.730.663,3063,VAROR,Varo Refining (Cressier) SA,Varo Refining (Cressier) SA,18000101,,20220331,20220508
ch14uvag00001113,,2387,,SEM VFD,SEM VFD,18000101,,20220331,20220508
ch14uvag00001046,,2187,,EUROTOUR di Ferro Giuseppe & C. s.n.c.,EUROTOUR di Ferro Giuseppe & C. s.n.c.,18000101,,20220331,20220508
ch14uvag00107821,ATU 51402405,2677,(VVT),VVT,Verkehrsverbund Tirol GesmbH,18000101,,20220331,20220508
ch14uvag00001100,,2349,,Andrzej Marzec - Biuro Rudnik Tumay,Andrzej Marzec - Biuro Rudnik Tumay,18000101,,20220331,20220508
ch14uvag00001289,,2585,,Société Autos Transports du Chablais et du Faucigny,Société Autos Transports du Chablais et du Faucigny,18000101,,20220331,20220508
ch14uvag00001204,,2496,,SC P.L. Noris Srl,SC P.L. Noris Srl,18000101,,20220331,20220508
ch14uvag00249212,,20345,#GALTRSACL,"Galliker Transports SA, Aclens/Vufflens","Galliker Transports SA, Aclens/Vufflens",18000101,,20220331,20220508
ch14uvag00001116,,2394,,Bergholdt A/S,Bergholdt A/S,18000101,,20220331,20220508
ch14uvag00249213,,20285,#EMILFRE,Emil Frey Betriebs AG,Emil Frey Betriebs AG,18000101,,20220331,20220508
ch14uvag00107832,CHE-102.082.156,3029,THAG,Thommen AG,Thommen AG,19790622,,20220331,20220508
ch14uvag00249214,,20405,#LEER,Zwilag Zwischenlager Würenlingen AG,Zwilag Zwischenlager Würenlingen AG,18000101,,20220331,20220508
ch14uvag00249215,,9610,,leer 9610,leer 9610,18000101,,20220331,20220508
ch14uvag00225177,,2773,,Solo Management GmbH,Solo Management GmbH,18000101,,20220331,20220508
ch14uvag00224708,CHE-404.265.232,2762,,Firga Trans GmbH,Firga Trans GmbH,18000101,,20220331,20220508
