xtf_id,Nummer,Bezeichnung,BetrieblicheBezeichnung,Laenge,Kantenhoehe,Gueltigkeit_BeginnGueltigkeit,Gueltigkeit_EndeGueltigkeit,Gueltigkeit_Stand,rHaltestelle,E,N,H
ch14uvag00233374,ch:1:sloid:77004:0:2,,2,,,20190101,,20220508,ch14uvag00055719,2603734.878,1200766.504,552.3
ch14uvag00233403,ch:1:sloid:88713:1:2,,2,,,20200703,,20220508,ch14uvag00055354,2608787.423,1262129.366,297.2
ch14uvag00233373,ch:1:sloid:77004:0:8,,8,,,20190101,,20220508,ch14uvag00055719,2603729.416,1200762.411,551.961
ch14uvag00229679,ch:1:sloid:7906::91,,91,,,20210720,,20220508,ch14uvag00225069,2694251,1247270,449.9
ch14uvag00226523,ch:1:sloid:89042:0:2,,2,,,20200525,,20220508,ch14uvag00059087,2604724.9,1207829.1,576
ch14uvag00226112,ch:1:sloid:71461:0:2,,2,,,20190101,,20220508,ch14uvag00042428,2592400.538,1216997.59,450.929
ch14uvag00226114,ch:1:sloid:8873:0:1,,1,,,20190101,,20220508,ch14uvag00042429,2592697.475,1217244.655,442.927
ch14uvag00232594,ch:1:sloid:94326:1:2,,11,,,20100825,,20220508,ch14uvag00047773,2645989.627,1163745.916,1038.8
ch14uvag00225860,ch:1:sloid:90553::51,,51,,,20220207,,20220508,ch14uvag00044629,2689547,1251216,432.9
ch14uvag00236549,ch:1:sloid:88030::51,,51,,,20220207,,20220508,ch14uvag00053077,2689314,1237059,425.9
ch14uvag00233710,ch:1:sloid:91256::82,,82,,,20210720,,20220508,ch14uvag00065199,2683987,1252156,427.6
ch14uvag00238837,ch:1:sloid:4348:0:292983,,1,,,20210211,,20220508,ch14uvag00223175,2694397,1168384,2046.3
ch14uvag00225716,ch:1:sloid:75934::50,,50,,,20220207,,20220508,ch14uvag00063565,2700430,1254054,619.6
ch14uvag00227090,ch:1:sloid:90796::50,,50,,,20220207,,20220508,ch14uvag00058814,2675705,1249816,400
ch14uvag00231944,ch:1:sloid:87907:0:104748,,plpa00,45.00,25.00,20200106,,20220508,ch14uvag00046870,2499994.505,1117111.178,377
ch14uvag00232115,ch:1:sloid:92844:0:982017,,jjac01,24.00,14.00,20200106,,20220508,ch14uvag00046824,2498633.445,1117831.205,411
ch14uvag00237222,ch:1:sloid:89660::4,,4,,,20210201,,20220508,ch14uvag00044713,2668714.41161,1215489.44286,421.2
ch14uvag00237243,ch:1:sloid:89665::5,E,E,,,20210201,,20220508,ch14uvag00044721,2668860.85599,1215272.82913,422
ch14uvag00227353,ch:1:sloid:2776::51,,51,,,20220207,,20220508,ch14uvag00046681,2684149,1237689,517.4
ch14uvag00226050,ch:1:sloid:91831::51,,51,,,20220207,,20220508,ch14uvag00047243,2687562,1248549,566.8
ch14uvag00237894,ch:1:sloid:30798:0:914682,,1,,,20210211,,20220508,ch14uvag00042279,2682554,1208823,1549.8
ch14uvag00248209,ch:1:sloid:94353:0:982160,,9435301,10.00,2.00,20220301,,20220508,ch14uvag00060005,2747630,1257062,679
ch14uvag00248224,ch:1:sloid:89605:0:673431,,8960502,25.00,8.00,20220301,,20220508,ch14uvag00060073,2746568,1255241,664
ch14uvag00248213,ch:1:sloid:89574:0:770121,,8957401,35.00,22.00,20220301,,20220508,ch14uvag00060019,2748937,1255953,656
ch14uvag00233736,ch:1:sloid:94328:1:2,,12,,,20100825,,20220508,ch14uvag00047769,2645324.053,1163959.65,1030.4
ch14uvag00227420,ch:1:sloid:3872::52,,52,,,20220207,,20220508,ch14uvag00062127,2697391,1245791,491.5
ch14uvag00229437,ch:1:sloid:3068::1,,1,,,20220207,,20220508,ch14uvag00052695,2690208,1242597,669.9
ch14uvag00226697,ch:1:sloid:3061::0,,0,,,20220207,,20220508,ch14uvag00050814,2694952,1239132,526.9
ch14uvag00236918,ch:1:sloid:87428::2,,2,,,20210201,,20220508,ch14uvag00048023,2691162.82585,1176583.67204,710.7
ch14uvag00226698,ch:1:sloid:3061::1,,1,,,20220207,,20220508,ch14uvag00050814,2695003,1239080,525.2
ch14uvag00245554,ch:1:sloid:3086:0:92482,1,212,,,20211212,,20220508,ch14uvag00064880,2682170.0857,1245104.63519,422.7
ch14uvag00236481,ch:1:sloid:76866:1:5,,14,,,19930201,,20220508,ch14uvag00061324,2614957.204,1178330.224,563.7
ch14uvag00236637,ch:1:sloid:88533::50,,50,,,20220207,,20220508,ch14uvag00061812,2699001,1232344,409.6
ch14uvag00236473,ch:1:sloid:87418:0:132652,,esrt03,36.00,14.00,20200106,,20220508,ch14uvag00055944,2497690.445,1116102.203,419.8
ch14uvag00228160,ch:1:sloid:88791:1:4,,4,,,20200703,,20220508,ch14uvag00056845,2612155.412,1261195.354,298.7
ch14uvag00242913,ch:1:sloid:94228::425801,,1,,,20211212,,20220508,ch14uvag00060967,2718844,1096203,389.8
ch14uvag00232870,ch:1:sloid:76987:0:2,,2,,,20190101,,20220508,ch14uvag00040749,2601586.93,1201762.711,550.959
ch14uvag00230586,ch:1:sloid:88172:1:3,,16,,,20010123,,20220508,ch14uvag00061279,2613834.699,1178777.709,558.2
ch14uvag00230604,ch:1:sloid:88482:1:3,,11,,,20020829,,20220508,ch14uvag00061282,2614083.108,1177908.702,561.2
ch14uvag00230585,ch:1:sloid:88172:1:1,,14,,,20010123,,20220508,ch14uvag00061279,2613906.803,1178758.72,558
ch14uvag00233095,ch:1:sloid:90037:0:2,,2,,,20190722,,20220508,ch14uvag00040736,2601942.458,1199468.41,565.3
ch14uvag00243080,ch:1:sloid:78847::116002,,2,,,20211212,,20220508,ch14uvag00056040,2708266,1153971,1644.1
ch14uvag00238988,ch:1:sloid:89784::2,B,2,,,20210201,,20220508,ch14uvag00052434,2665666.48461,1212146.45962,490.4
ch14uvag00242101,ch:1:sloid:91499::508601,,1,,,20211212,,20220508,ch14uvag00055878,2721792,1076384,399.2
ch14uvag00227211,ch:1:sloid:90812::50,,50,,,20220207,,20220508,ch14uvag00061180,2685585,1237793,463.9
ch14uvag00227185,ch:1:sloid:90802::50,,50,,,20220207,,20220508,ch14uvag00058820,2676179,1251036,392
ch14uvag00226209,ch:1:sloid:76080::52,,52,,,20220207,,20220508,ch14uvag00053059,2691252,1236094,419.9
ch14uvag00228398,ch:1:sloid:92722:0:791451,,scha01,15.00,15.00,20200106,,20220508,ch14uvag00043482,2498569.35,1125567.337,429.2
ch14uvag00232715,ch:1:sloid:88491:1:1,,10,,,20020904,,20220508,ch14uvag00061670,2620663.965,1174780.143,919.8
ch14uvag00237949,ch:1:sloid:6261:0:188562,,1,,,20210211,,20220508,ch14uvag00042026,2752629,1240364,925.5
ch14uvag00243087,ch:1:sloid:5265::110101,,1,,,20211212,,20220508,ch14uvag00052752,2718923,1139235,358.2
ch14uvag00237368,ch:1:sloid:331:0:390380,,1,,,20210211,,20220508,ch14uvag00223580,2737012,1214966,1843.2
ch14uvag00232609,ch:1:sloid:76510:2:12,,2 r1BS - r1BS,,,20210202,,20220508,ch14uvag00047762,2645520.77716,1163875.40641,1034.8
ch14uvag00228006,ch:1:sloid:76800:1:4,,10,,,19990101,,20220508,ch14uvag00061240,2608630.82,1178142.009,655.1
ch14uvag00234004,ch:1:sloid:90762::1,,1,,,20220207,,20220508,ch14uvag00057886,2684419,1254425,423.5
ch14uvag00238103,ch:1:sloid:31137:0:963581,,1,,,20210211,,20220508,ch14uvag00165653,2702864,1205949,1830.4
ch14uvag00227043,ch:1:sloid:75948::81,,81,,,20210720,,20220508,ch14uvag00050081,2698222,1256083,665.2
ch14uvag00231332,ch:1:sloid:94182::51,,51,,,20220207,,20220508,ch14uvag00048885,2687208,1235322,418.8
ch14uvag00231127,ch:1:sloid:3868::51,,51,,,20220207,,20220508,ch14uvag00063064,2691598,1229751,609.1
ch14uvag00227241,ch:1:sloid:80874::50,,50,,,20220207,,20220508,ch14uvag00062114,2695698,1245282,456
ch14uvag00227743,ch:1:sloid:78205:1:1,,1,,,20200703,,20220508,ch14uvag00041007,2606531.408,1261687.335,310.6
ch14uvag00237787,ch:1:sloid:30192:0:922471,,1,,,20210211,,20220508,ch14uvag00061930,2627950,1125898,1231.9
ch14uvag00227069,ch:1:sloid:75940::50,,50,,,20220207,,20220508,ch14uvag00044835,2694085,1254813,528.5
ch14uvag00226962,ch:1:sloid:75920::50,,50,,,20220207,,20220508,ch14uvag00044838,2694911,1253895,519.2
ch14uvag00248219,ch:1:sloid:89584:0:27845,,8958402,15.00,0.00,20220301,,20220508,ch14uvag00060031,2747996,1255949,650
ch14uvag00240532,ch:1:sloid:7068::1,1,#1,120.00,32.00,20210301,,20220508,ch14uvag00041428,2604440,1202099,539
ch14uvag00236134,ch:1:sloid:82193:0:1,,1,,,20190101,,20220508,ch14uvag00062153,2608613.52,1220301.605,472.916
ch14uvag00226730,ch:1:sloid:87020::51,E,51,,,20220207,,20220508,ch14uvag00044384,2672892,1251011,388.9
ch14uvag00235127,ch:1:sloid:93505:1:1,,1,,,20200703,,20220508,ch14uvag00055345,2608211.421,1263611.348,346.4
ch14uvag00233121,ch:1:sloid:73586::53,,53,,,20220207,,20220508,ch14uvag00063166,2711653,1236836,617
ch14uvag00235295,ch:1:sloid:90747::51,,51,,,20220207,,20220508,ch14uvag00055579,2686019,1253559,447.7
ch14uvag00228238,ch:1:sloid:17414:1:4,,4,,,20200703,,20220508,ch14uvag00056379,2619064.95,1263550.757,289.6
ch14uvag00227031,ch:1:sloid:96078::51,,51,,,20220207,,20220508,ch14uvag00220684,2691327,1263730,396.2
ch14uvag00226392,ch:1:sloid:90561::1,,1,,,20220207,,20220508,ch14uvag00044637,2688266,1250823,428.6
ch14uvag00226394,ch:1:sloid:90561::51,,51,,,20220207,,20220508,ch14uvag00044637,2688251,1250791,429.8
ch14uvag00233711,ch:1:sloid:91256::84,,84,,,20210720,,20220508,ch14uvag00065199,2683898,1252065,428.6
ch14uvag00227153,ch:1:sloid:81538::50,,50,,,20220207,,20220508,ch14uvag00062130,2695035,1244674,443.3
ch14uvag00228135,ch:1:sloid:88764:1:2,,2,,,20200703,,20220508,ch14uvag00039250,2613617.422,1260817.344,325.7
ch14uvag00241586,ch:1:sloid:92469:0:02,,2,,,20210401,,20220508,ch14uvag00041091,2585017,1220751,432.9
ch14uvag00229803,ch:1:sloid:89315:1:1,,1,,,20200703,,20220508,ch14uvag00040079,2609579.081,1266606.452,278.9
ch14uvag00235748,ch:1:sloid:76646:0:39,N,39,,,20191208,,20220508,ch14uvag00040614,2600025.495,1199551.286,542
ch14uvag00247660,ch:1:sloid:77600:0:1,,1,,,20220301,,20220508,ch14uvag00053809,2691286,1217924,726
ch14uvag00228397,ch:1:sloid:93200:0:500724,,moui00,15.00,19.00,20200106,,20220508,ch14uvag00062610,2503064.414,1113390.267,422.9
ch14uvag00234572,ch:1:sloid:88041::50,,50,,,20220207,,20220508,ch14uvag00057964,2708249,1236143,542.8
ch14uvag00234545,ch:1:sloid:3396::50,,50,,,20220207,,20220508,ch14uvag00057965,2706248,1235289,485.2
ch14uvag00237717,ch:1:sloid:1337:0:151842,,3,,,20210211,,20220508,ch14uvag00045765,2636883,1102009,2989.6
ch14uvag00228553,ch:1:sloid:76570:1:2,,10,,,20000528,,20220508,ch14uvag00045628,2618168.234,1182986.925,834
ch14uvag00240711,ch:1:sloid:5174:0:690406,2,2,145.00,37.00,20210308,,20220508,ch14uvag00044348,2699808.4379,1169564.3322,1455.8
ch14uvag00230927,ch:1:sloid:89998:0:2,,2,,,20190722,,20220508,ch14uvag00050119,2599165.374,1196830.512,633.1
ch14uvag00238160,ch:1:sloid:89656::1,,1,,,20210201,,20220508,ch14uvag00042096,2669299.23042,1216293.17358,435.2
ch14uvag00231914,ch:1:sloid:89467:1:1,,1,,,20200703,,20220508,ch14uvag00057180,2616172.534,1271338.625,276.5
ch14uvag00243670,ch:1:sloid:91582::410601,,1,,,20211212,,20220508,ch14uvag00038767,2719419,1096519,646.1
ch14uvag00228474,ch:1:sloid:76561:1:3,,11,,,19980101,,20220508,ch14uvag00048367,2618177.715,1178034.627,1013.5
ch14uvag00238578,ch:1:sloid:89845::1,,1,,,20210201,,20220508,ch14uvag00052510,2667144.67748,1210223.42219,444.3
ch14uvag00243711,ch:1:sloid:90190:0:03,M,3,,,20211212,,20220508,ch14uvag00039774,2665536.935,1258778.022,385.4
ch14uvag00233050,ch:1:sloid:91220::82,,82,,,20210720,,20220508,ch14uvag00065163,2683973,1247487,439.1
ch14uvag00243782,ch:1:sloid:75292::483202,,2,,,20211212,,20220508,ch14uvag00054123,2714975,1095159,385.5
ch14uvag00244726,ch:1:sloid:74372:0:01,,1,,,20211212,,20220508,ch14uvag00223772,2758081,1234058,433
ch14uvag00244604,ch:1:sloid:81004:0:01,,1,,,20211212,,20220508,ch14uvag00223734,2757435,1232920,461
ch14uvag00225634,ch:1:sloid:90575::80,,80,,,20210720,,20220508,ch14uvag00044652,2689233,1250435,433.7
ch14uvag00234259,ch:1:sloid:90732::50,,50,,,20220207,,20220508,ch14uvag00055141,2680079,1258019,438.1
ch14uvag00228035,ch:1:sloid:17410:1:4,,4,,,20200703,,20220508,ch14uvag00054103,2614385.911,1264772.859,280.3
ch14uvag00238476,ch:1:sloid:94982::1,,1,,,20210201,,20220508,ch14uvag00043357,2757338.82656,1190578.47946,564.3
ch14uvag00247576,ch:1:sloid:87715:0:2,,2,,,20220301,,20220508,ch14uvag00061940,2666104,1224737,519
ch14uvag00247574,ch:1:sloid:2087:0:2,,2,,,20220301,,20220508,ch14uvag00048777,2666636,1225899,606
ch14uvag00237021,ch:1:sloid:89719::1,,1,,,20210201,,20220508,ch14uvag00050028,2663488.78071,1209105.16715,520.5
ch14uvag00239393,ch:1:sloid:31362:0:54074,,1,,,20210211,,20220508,ch14uvag00220451,2554629,1118566,1881.6
ch14uvag00227392,ch:1:sloid:90883::51,,51,,,20220207,,20220508,ch14uvag00063267,2687657,1252955,467.1
ch14uvag00234500,ch:1:sloid:90622::51,,51,,,20220207,,20220508,ch14uvag00047159,2685026,1253645,432.7
ch14uvag00247585,ch:1:sloid:95432:0:1,,1,,,20220301,,20220508,ch14uvag00049043,2674850,1225910,466
ch14uvag00247594,ch:1:sloid:88690:0:3,,3,,,20220301,,20220508,ch14uvag00049035,2675014,1224750,457
ch14uvag00236576,ch:1:sloid:91828::51,,51,,,20220207,,20220508,ch14uvag00044735,2690859,1245203,608.4
ch14uvag00231445,ch:1:sloid:93165:0:427311,,pail00,26.00,9.00,20200106,,20220508,ch14uvag00062490,2497797.357,1119560.178,438.3
ch14uvag00229461,ch:1:sloid:6899::56,G,56,,,20220207,,20220508,ch14uvag00064041,2696842,1261813,438.9
ch14uvag00225618,ch:1:sloid:3374::50,,50,,,20220207,,20220508,ch14uvag00047484,2695247,1255706,494.2
ch14uvag00232758,ch:1:sloid:91056::12,,12,,,20220207,,20220508,ch14uvag00064873,2679321,1249457,398.9
ch14uvag00232765,ch:1:sloid:91056::50,,50,,,20220207,,20220508,ch14uvag00064873,2679252,1249492,399.1
ch14uvag00233028,ch:1:sloid:5095:0:84386,D,D,,,20201221,,20220508,ch14uvag00059046,2692223,1208479,512
ch14uvag00230403,ch:1:sloid:76851:1:1,,16,,,19990101,,20220508,ch14uvag00063931,2615076.324,1169395.433,628.6
ch14uvag00230632,ch:1:sloid:93167:0:307748,,butn00,24.00,14.00,20200106,,20220508,ch14uvag00062492,2497340.335,1117828.205,424.2
ch14uvag00230825,ch:1:sloid:73560::50,,50,,,20220207,,20220508,ch14uvag00048704,2687878,1231885,696.3
ch14uvag00225617,ch:1:sloid:94539::50,,50,,,20220207,,20220508,ch14uvag00063669,2703106,1243386,549.7
ch14uvag00242795,ch:1:sloid:90528::51,,51,,,20220207,,20220508,ch14uvag00044409,2671997,1252459,384.3
ch14uvag00241896,ch:1:sloid:78690:0:01,,1,,,20210504,,20220508,ch14uvag00054172,2656108,1251985,387.3
ch14uvag00236530,ch:1:sloid:90520::50,,50,,,20220207,,20220508,ch14uvag00044400,2672090,1252491,384
ch14uvag00229135,ch:1:sloid:90805::0,,0,,,20220207,,20220508,ch14uvag00058823,2676253,1250151,394.2
ch14uvag00234310,ch:1:sloid:73205::54,D,54,,,20220207,,20220508,ch14uvag00064892,2684852,1256135,430.9
ch14uvag00237228,ch:1:sloid:281:0:340973,,1,,,20210211,,20220508,ch14uvag00223954,2782753,1184477,1930.1
ch14uvag00237044,ch:1:sloid:5121::1,,1,,,20210201,,20220508,ch14uvag00049270,2692541.62231,1179524.96237,649
ch14uvag00240694,ch:1:sloid:31480:0:385415,,EU-Secure Tunnel 1,,,20210302,,20220508,ch14uvag00220341,2684597.32292,1256372.63364,426.4
ch14uvag00227778,ch:1:sloid:30777:1:2,,2,,,20200703,,20220508,ch14uvag00054261,2612922.418,1263518.351,288.4
ch14uvag00227696,ch:1:sloid:64:1:2,,2,,,20200703,,20220508,ch14uvag00061219,2608925.413,1260937.337,305.9
ch14uvag00236475,ch:1:sloid:92849:0:985203,,laub00,25.00,15.00,20200106,,20220508,ch14uvag00046831,2501572.453,1116465.212,414.6
ch14uvag00241846,ch:1:sloid:78734:0:01,,1,,,20210504,,20220508,ch14uvag00051510,2655191,1248744,411.8
ch14uvag00235584,ch:1:sloid:95136:0:1,,1,,,20190722,,20220508,ch14uvag00040750,2602294.537,1201669.558,550.5
ch14uvag00232054,ch:1:sloid:87037:0:594775,,tcar01,51.00,15.00,20200106,,20220508,ch14uvag00042719,2499435.459,1115403.208,382.1
ch14uvag00227105,ch:1:sloid:73558::51,,51,,,20220207,,20220508,ch14uvag00048890,2687457,1233107,650.8
ch14uvag00232234,ch:1:sloid:87994::50,,50,,,20220207,,20220508,ch14uvag00048582,2688921,1238829,555
ch14uvag00235130,ch:1:sloid:78201:1:2,,2,,,20200703,,20220508,ch14uvag00055357,2608709.409,1262473.342,305.9
ch14uvag00247662,ch:1:sloid:77599:0:1,,1,,,20220301,,20220508,ch14uvag00053810,2691382,1218440,726
ch14uvag00248316,ch:1:sloid:174:0:3,3,3,100.00,35.00,20220309,,20220508,ch14uvag00051348,2563504.22306,1230365.99881,969
ch14uvag00226299,ch:1:sloid:88205::50,,50,,,20220207,,20220508,ch14uvag00045359,2688228,1240145,548.4
ch14uvag00225602,ch:1:sloid:94540::51,,51,,,20220207,,20220508,ch14uvag00063671,2702681,1243265,544.4
ch14uvag00231328,ch:1:sloid:73552::50,,50,,,20220207,,20220508,ch14uvag00048847,2687602,1235049,413.3
ch14uvag00232922,ch:1:sloid:95138:0:2,,2,,,20190722,,20220508,ch14uvag00040769,2602796.348,1201670.456,560.4
ch14uvag00232917,ch:1:sloid:76999:0:6,,6,,,20190101,,20220508,ch14uvag00040745,2603051.428,1201518.596,557.3
ch14uvag00229173,ch:1:sloid:75919::51,,51,,,20220207,,20220508,ch14uvag00044843,2694144,1253716,511.2
ch14uvag00238571,ch:1:sloid:73063::1,,1,,,20210201,,20220508,ch14uvag00038538,2669973.24529,1214016.64193,550.9
ch14uvag00238586,ch:1:sloid:89712::2,,2,,,20210201,,20220508,ch14uvag00050021,2665312.52582,1210126.16593,455.1
ch14uvag00233348,ch:1:sloid:2572::10,,10,,,20220207,,20220508,ch14uvag00065101,2681198,1247179,419.2
ch14uvag00227201,ch:1:sloid:90803::11,,11,,,20220207,,20220508,ch14uvag00058821,2676565,1250241,393.1
ch14uvag00233487,ch:1:sloid:91366::10,,10,,,20220207,,20220508,ch14uvag00065311,2681959,1246046,414.7
ch14uvag00238585,ch:1:sloid:89712::1,,1,,,20210201,,20220508,ch14uvag00050021,2665325.58053,1210118.8154,454.7
ch14uvag00238576,ch:1:sloid:77144::3,,3,,,20210201,,20220508,ch14uvag00052494,2667617.17362,1209860.52139,438.5
ch14uvag00231306,ch:1:sloid:92870:0:282140,,muse03,20.00,22.00,20200106,,20220508,ch14uvag00046851,2501199.456,1117107.175,405.3
ch14uvag00243089,ch:1:sloid:5252::110202,,2,,,20211212,,20220508,ch14uvag00052753,2718682,1140157,365.5
ch14uvag00247473,ch:1:sloid:77076:0:1,,1,,,20220301,,20220508,ch14uvag00048726,2662778,1231053,576
ch14uvag00235351,ch:1:sloid:73278::54,,54,,,20220207,,20220508,ch14uvag00040229,2708763,1247421,639.2
ch14uvag00227230,ch:1:sloid:73165::51,,51,,,20220207,,20220508,ch14uvag00061200,2684990,1238037,479.6
ch14uvag00243354,ch:1:sloid:73167::54,,54,,,20220207,,20220508,ch14uvag00061205,2685143,1238821,444.7
ch14uvag00238149,ch:1:sloid:30319:0:916468,,1,,,20210211,,20220508,ch14uvag00051160,2604310,1145685,2193.6
ch14uvag00247645,ch:1:sloid:77084:0:1,,1,,,20220301,,20220508,ch14uvag00049770,2664965,1227561,559
ch14uvag00243949,ch:1:sloid:78922::336801,,1,,,20211212,,20220508,ch14uvag00041857,2697643,1108021,382.3
ch14uvag00242353,ch:1:sloid:91526::303902,,2,,,20211212,,20220508,ch14uvag00039398,2703446,1112075,200.8
ch14uvag00233352,ch:1:sloid:91075::11,,11,,,20220207,,20220508,ch14uvag00065009,2681163,1247585,414.3
ch14uvag00248321,ch:1:sloid:165:0:1,1,1,50.00,15.00,20220309,,20220508,ch14uvag00051353,2571040.80601,1230200.2418,1005
ch14uvag00226938,ch:1:sloid:90832::51,,51,,,20220207,,20220508,ch14uvag00061949,2676244,1251560,398.5
ch14uvag00237412,ch:1:sloid:31375:0:149876,,1,,,20210211,,20220508,ch14uvag00220606,2567644,1133811,1464.9
ch14uvag00247144,ch:1:sloid:2863:0:2,,2,,,20220301,,20220508,ch14uvag00064786,2681545,1224175,425
ch14uvag00242448,ch:1:sloid:5390::48701,2,1,,,20211212,,20220508,ch14uvag00059359,2713558,1096290,286.3
ch14uvag00227394,ch:1:sloid:94064:0:9,,9,,,20200525,,20220508,ch14uvag00059160,2595231.3,1210339.5,511
ch14uvag00225893,ch:1:sloid:89128::50,,50,,,20220207,,20220508,ch14uvag00062925,2693559,1249307,458.6
ch14uvag00242566,ch:1:sloid:91553::338303,,2,,,20211212,,20220508,ch14uvag00052137,2701983,1113556,240.5
ch14uvag00231744,ch:1:sloid:93199:0:635065,,baum00,14.00,13.00,20200106,,20220508,ch14uvag00062547,2499637.443,1114245.24,415.7
ch14uvag00233012,ch:1:sloid:90050:0:2,,2,,,20190722,,20220508,ch14uvag00040720,2602629.436,1200300.367,566.6
ch14uvag00231521,ch:1:sloid:4881:0:15248,22,22,23.00,16.00,20201213,,20220508,ch14uvag00046341,2578023,1183674,622
ch14uvag00232440,ch:1:sloid:76638:1:2,,11,,,20191215,,20220508,ch14uvag00049202,2628244.049,1181992.097,1011.1
ch14uvag00233399,ch:1:sloid:88711:1:2,,2,,,20200703,,20220508,ch14uvag00055337,2608824.406,1262972.341,324.7
ch14uvag00235273,ch:1:sloid:87347::80,,80,,,20210720,,20220508,ch14uvag00065268,2682856,1244252,408
ch14uvag00229144,ch:1:sloid:90739::81,,81,,,20210720,,20220508,ch14uvag00055442,2672140,1253438,400.3
ch14uvag00234372,ch:1:sloid:78283:1:2,,2,,,20200703,,20220508,ch14uvag00044327,2628069.414,1252714.341,448.3
ch14uvag00234439,ch:1:sloid:91194::81,,81,,,20210720,,20220508,ch14uvag00065134,2686729,1250904,428.8
ch14uvag00235866,ch:1:sloid:92946:0:291763,,mach01,,,20200106,,20220508,ch14uvag00047518,2499086.444,1122211.208,416.6
ch14uvag00240901,ch:1:sloid:92468:0:02,,2,,,20210401,,20220508,ch14uvag00041093,2587227,1221738,439.7
ch14uvag00241360,ch:1:sloid:87630::876302,,876302,,,20210101,,20220508,ch14uvag00056064,2590703,1224478,443.1
ch14uvag00242095,ch:1:sloid:91489::506704,,2,,,20211212,,20220508,ch14uvag00043246,2723012,1076951,237.4
ch14uvag00245196,ch:1:sloid:79149:0:1,,1,,,20211212,,20220508,ch14uvag00062583,2554157.35095,1145642.12852,376.9
ch14uvag00245221,ch:1:sloid:78441:0:01,,1,,,20211212,,20220508,ch14uvag00063697,2765693,1252898,406
ch14uvag00245369,ch:1:sloid:74408:0:02,,2,,,20211212,,20220508,ch14uvag00223691,2756360,1214908,474
ch14uvag00227112,ch:1:sloid:76160::51,,51,,,20220207,,20220508,ch14uvag00040210,2689718,1255431,460.5
ch14uvag00237361,ch:1:sloid:30601:0:177850,,1,,,20210211,,20220508,ch14uvag00060968,2782654,1151234,1935.9
ch14uvag00237348,ch:1:sloid:77328::2,,2,,,20210201,,20220508,ch14uvag00055169,2651323.26317,1222592.252,522.2
ch14uvag00238410,ch:1:sloid:73062::2,,2,,,20210201,,20220508,ch14uvag00038536,2669208.33692,1213900.2444,539.3
ch14uvag00246386,ch:1:sloid:76814:2:6,D,15,,,20220202,,20220508,ch14uvag00061235,2611235.30601,1178271.50366,566.9
ch14uvag00233797,ch:1:sloid:82553:0:11,,11,,,20190722,,20220508,ch14uvag00040752,2596572.371,1198283.42,562.4
ch14uvag00226789,ch:1:sloid:86:90:3,,3,,,20200703,,20220508,ch14uvag00055061,2623426.589,1249100.01,499.1
ch14uvag00226404,ch:1:sloid:81025:0:1,,1,,,20190101,,20220508,ch14uvag00054253,2600378.574,1208437.619,535.951
ch14uvag00245224,ch:1:sloid:78442:0:02,,1,,,20211212,,20220508,ch14uvag00063695,2765982,1252244,405
ch14uvag00245204,ch:1:sloid:93956:0:1,C,1,25.00,10.00,20211212,,20220508,ch14uvag00050540,2555261.7561,1144845.40457,382.6
ch14uvag00245202,ch:1:sloid:94002:0:1,,1,22.00,12.00,20211212,,20220508,ch14uvag00062591,2554269.82977,1145734.20891,380
ch14uvag00245207,ch:1:sloid:79159:0:1,,1,12.00,22.00,20211212,,20220508,ch14uvag00043697,2553448.01861,1146909.78618,438.7
ch14uvag00245199,ch:1:sloid:79151:0:1,,1,15.00,0.00,20211212,,20220508,ch14uvag00043698,2552940.46119,1146761.10298,420.1
ch14uvag00245219,ch:1:sloid:74137:0:04,D,4,,,20211212,,20220508,ch14uvag00048325,2765223,1253435,406
ch14uvag00247774,ch:1:sloid:77547:0:2,,2,,,20220301,,20220508,ch14uvag00055320,2681031,1222485,417
ch14uvag00230619,ch:1:sloid:76558:1:6,,10,,,19980101,,20220508,ch14uvag00061293,2614405.639,1178798.888,558.1
ch14uvag00235046,ch:1:sloid:90019:0:2,,2,,,20190722,,20220508,ch14uvag00040726,2602342.681,1199127.655,555.6
ch14uvag00233079,ch:1:sloid:91276::0,,0,,,20220207,,20220508,ch14uvag00065220,2683265,1250213,476.6
ch14uvag00232452,ch:1:sloid:92930:0:79422,,cnae00,15.00,14.00,20200106,,20220508,ch14uvag00046928,2500607.429,1123810.223,400.4
ch14uvag00232436,ch:1:sloid:92442:3:5,,5,,,20200703,,20220508,ch14uvag00040126,2609513.461,1267420.894,276.3
ch14uvag00237985,ch:1:sloid:30956:0:398660,,1,,,20210211,,20220508,ch14uvag00107686,2718315,1201002,1553.6
ch14uvag00230637,ch:1:sloid:90118:0:1,,1,,,20190722,,20220508,ch14uvag00050106,2598121.393,1197230.441,570.4
ch14uvag00227865,ch:1:sloid:94681:1:2,,2,,,20200703,,20220508,ch14uvag00054271,2613706.42,1262540.336,291.4
ch14uvag00232395,ch:1:sloid:17417:1:1,,1,,,20200703,,20220508,ch14uvag00056383,2617449.433,1263390.119,287.1
ch14uvag00237336,ch:1:sloid:77174::2,,2,,,20210201,,20220508,ch14uvag00044711,2669792.81749,1216080.66309,423.3
ch14uvag00240946,ch:1:sloid:76903::769032,,769032,,,20210101,,20220508,ch14uvag00063378,2616671,1229671,475.2
ch14uvag00230837,ch:1:sloid:90650::51,,51,,,20220207,,20220508,ch14uvag00048846,2686733,1235165,491.9
